gloss,text
"AS FAR AS ECONOMIC STRATEGY  CONCERN , I WILL MAKE DISTINCTION BETWEEN THREE PERIOD .","as far as the economic strategy is concerned , I will make a distinction between three periods ."
ALLOW I  USE DIFFERENT LANGUAGE FROM WHAT I HAVE HEAR  AFTERNOON THROUGHOUT ENTIRE DEBATE .,allow me to use a different language from what I have heard this afternoon throughout the entire debate .
WE HAVE DRAW CONSEQUENCE  LEARN LESSON FROM CRISIS 1930 .,we have drawn consequences and learnt lessons from the crisis of the 1930s .
DO NOT HAPPEN DURING 1930 .,that did not happen during the 1930s .
WHY DO WE HAVE  POSITIVE GROWTH NOW ?,why do we have this positive growth now ?
BECAUSE WE HAVE TAKE MEASURE .,because we have taken measures .
WE HAVE CONDUCT INTELLIGENT MONETARY POLICY .,we have conducted an intelligent monetary policy .
"WE HAVE INJECT LIQUIDITY INTO ECONOMY , SOMETHING  NO ONE DO 70 YEAR AGO .","we have injected liquidity into the economy , something that no one did 70 years ago ."
"IN 1930 , WE HAVE COMPETITIVE DEVALUATION .","in the 1930s , we had competitive devaluations ."
WE HAVE NOT HAVE Y TODAY .,we have not had them today .
WE HAVE CONDUCT RISKY BUDGETARY POLICY USE BUDGETARY DEFICIT  STIMULATE ECONOMY .,we have conducted a risky budgetary policy using budgetary deficits to stimulate the economy .
"WE DO NOT DO WHAT  DO IN 1930 , NAMELY RESTORE BUDGETARY EQUILIBRIUM AS QUICKLY AS POSSIBLE .","we did not do what was done in the 1930s , namely restore budgetary equilibrium as quickly as possible ."
"REFORE , WE HAVE PROTECT WE INTERNAL MARKET , WHICH  NOT PERFECT .","therefore , we have protected our internal market , which is not perfect ."
"WE  IMPROVE IT ,  MR MONTUS WILL PROVIDE WE  SOME CONCRETE PROPOSAL .","we must improve it , and mr monti will provide us with some concrete proposals ."
"HOWEVER , WE HAVE NOT LAPSE BACK INTO PROTECTIONISM 1930 .","however , we have not lapsed back into the protectionism of the 1930s ."
"REFORE , WE HAVE LEARN SOME LESSON FROM MAJOR CRISIS  WE HAVE JUST EXPERIENCE .","therefore , we have learnt some lessons from the major crisis that we have just experienced ."
"EUROPE , EUROPEAN UNION ,  NOT ALWAYS  PUT ON DEFENSIVE .","so europe , the european union , should not always be put on the defensive ."
RE  ALSO SOME  POSITIVE THING  HAVE  PRODUCE .,there are also some very positive things that have been produced .
"NOW WE  LEAVE  STRATEGY ,   CALL EXIT STRATEGY , BEHIND .","now we must leave this strategy , this so called exit strategy , behind ."
I THINK  WE HAVE CONDUCT  WE  CONTINUE  CONDUCT WISE POLICY .,i think that we have conducted and we are continuing to conduct a wise policy .
MEAN  SOME BUDGETARY CHOICE WILL NEED   MAKE .,that means that some budgetary choices will need to be made .
IT  HAPPEN  Y   HARD GOAL .,it so happens that they could be hard goals .
WHERE IT GET DIFFICULT .,this is where it gets difficult .
WE REFORE NEED CONSISTENT POSITION .,we therefore need a consistent position .
IT  NOT JUST EUROPEAN UNION  WILL IMPLEMENT REFORM .,it is not just the european union that will implement reforms .
"HOWEVER , WE  THINK ABOUT  .","however , we should think about this ."
"I HAVE MAKE QUITE FEW PROPOSAL , WHICH I BELIEVE  MORE INTELLIGENT THAN BINDING MEASURE .","i have made quite a few proposals , which I believe are more intelligent than binding measures ."
TAKE CLOSE LOOK  ARTICLE 121   YOU  FULLY AWARE  .,take a close look at article 121 so that you are fully aware of this .
ONE FINAL WORD ABOUT GREECE .,one final word about greece .
IT  TAKE SOME BRAVE MEASURE .,it is taking some brave measures .
I REFORE BELIEVE  WE  HAVE FRAME  DEFINE  CLEARLY ASPECT RESPONSIBILITY .,i therefore believe that we really have framed and defined very clearly the aspect of responsibility .
"IF NECESSARY , RE  , COURSE , ELEMENT SOLIDARITY .","if necessary , there is , of course , an element of solidarity ."
"NATURALLY , WE  DRAW CONCLUSION FROM WHAT HAVE HAPPEN IN GREECE IN RECENT YEAR .","naturally , we must draw conclusions from what has happened in greece in recent years ."
"IN FACT , EVERY CRISIS  CHALLENGE .","in fact , every crisis is a challenge ."
WE  LEARN LESSON FROM EVERY CRISIS .,we must learn lessons from every crisis .
"HOWEVER , WE  ALSO LEARN ALL LESSON FROM EXPERIENCE GREECE   .","however , we must also learn all the lessons from the experience of greece and others ."
IT  INDEED GREAT PLEASURE  HAVE YOU HERE  WE  YOU MAIDEN APPEARANCE IN PLENARY .,it was indeed a great pleasure to have you here with us for your maiden appearance in plenary .
"I THINK YOU HAVE EXHIBIT  IF YOU DO NOT HAVE IT , YOU  DEVELOP IT .","i think you have exhibited that if you do not have it , you are developing it ."
THANK YOU  MUCH   HERE  WE .,thank you so much for being here with us .
ECONOMIC CRISIS HAVE LEAVE DEEP NEGATIVE IMPRINT ON EU COUNTRIESPOTENTIAL  ECONOMIC GROWTH .,the economic crisis has left a deep negative imprint on the eu countriespotential for economic growth .
IT  ACTUALLY ECONOMIC MODEL WHICH NEED  CHANGE .,it is actually the economic model which needs to change .
WE CAN NOT HAVE DYNAMIC ECONOMY UNLESS WE HAVE MOTIVATE WORKER .,we cannot have a dynamic economy unless we have motivated workers .
WE CAN NOT HAVE SUSTAINABLE ECONOMY EIR IF WE SUPPORT ENVIRONMENTAL PROTECTION ONLY  HALF MEASURE .,we cannot have a sustainable economy either if we support environmental protection only with half measures .
EXIT FROM CRISIS  BASICALLY NOT PROBLEM ABOUT ECONOMIC  FISCAL POLICY .,exiting from the crisis is basically not a problem about economic or fiscal policy .
I  ALSO LIKE  DRAW ATTENTION  EDUCATION SYSTEM  IMPORTANCE ACQUIRE NEW SKILL .,i would also like to draw attention to education systems and the importance of acquiring new skills .
"REFORE , IT  IMPERATIVE  INVEST IN INTERNAL STAFF TRAINING  LIFELONG LEARN .","therefore , it is imperative to invest in internal staff training and lifelong learning ."
"WE OUGHT  PAY MOST ATTENTION  ONE SOCIETY POSS MOST SEVERE PROBLEM , GROW YOUTH UNEMPLOYMENT .","we ought to pay most attention to one of society's most severe problems , growing youth unemployment ."
EU 2020 STRATEGY CAN ONLY SUCCEED IF MEMBER STATE DEMONSTRATE SUFFICIENT COMMITMENT  CARRY IT OUT .,the eu 2020 strategy can only succeed if the member states demonstrate sufficient commitment to carrying it out .
2020 STRATEGY ALSO SET OUT NEXT BUDGETARY TERM POSS PRIORITY WITHOUT PROVIDE  DETAILED DISCUSSION  PRESENT .,the 2020 strategy also sets out the next budgetary term's priorities without providing for detailed discussion at present .
"WITHOUT ECONOMIC , SOCIAL  TERRITORIAL COHESION , RE  NO STRONG , COMPETITIVE EUROPE .","without economic , social and territorial cohesion , there is no strong , competitive europe ."
CONVERGENCE BETWEEN REGION STRENGN EUROPE POSS COMPETITIVENESS .,convergence between the regions strengthens europe's competitiveness .
MEAN NO LESS THAN RETHINK EUROPEAN LABOR MARKET  EDUCATIONAL SYSTEM .,this means no less than a rethinking of the european labour market and educational system .
MODERN SOCIAL SECURITY  PENSION SYSTEM  REQUIRE IN ORDER  REDUCE POVERTY  EXCLUSION .,modern social security and pension systems are required in order to reduce poverty and exclusion .
"EUROPE 2020  NOT REPEAT FAILURE ITS PREDECESSOR , LISBON STRATEGY .","europe 2020 must not repeat the failures of its predecessor , the lisbon strategy ."
"FURRMORE , WHAT ABOUT HOUR WORK ?","furthermore , what about hours of work ?"
WE NEED NEW APPROACH  SE NEW CHALLENGE .,we need a new approach to these new challenges .
PRIORITY NEW EURO 2020 STRATEGY    MORE INTELLIGENT  ECOLOGICAL KNOWLEDGE BASE MARKET ECONOMY .,the priority of the new euro 2020 strategy is to be a more intelligent and ecological knowledge based market economy .
"SUPPORT , ESPECIALLY  SMALL  MEDIUM SIZE ENTERPRISE ,  SIGNIFICANT MATTER .","support , especially for small and medium sized enterprises , is a significant matter ."
EU 2020 STRATEGY  STAND ON TWO PILLAR .,the eu 2020 strategy must stand on two pillars .
"REFORE , RE  CONTINUE NEED  STRONG COHESION POLICY BASE ON SOLIDARITY .","therefore , there is a continued need for a strong cohesion policy based on solidarity ."
EU 2020 STRATEGY  MARK BREAKTHROUGH .,the eu 2020 strategy must mark a breakthrough .
EU 2020  CLEARLY MARK START POST LISBON PHASE .,eu 2020 must clearly mark the start of the post lisbon phase .
RE  THREE PRIORITY AREA WHICH  FEATURE IN EU 2020 WITHOUT FAIL .,there are three priority areas which must feature in eu 2020 without fail .
"FIRST ONE  ACTIVE SUPPORT  SME , BASE ON CORRELATION COMMUNITY PROGRAM  MACRO ECONOMIC POLICY .","the first one is active support for smes , based on the correlation of community programmes with macro economic policies ."
APPROACH WILL GUARANTEE HEALTHY ECONOMIC ENVIRONMENT  PRIVATE ENTITY .,this approach will guarantee a healthy economic environment for private entities .
SECOND  EDUCATION SYSTEM WHICH PREPARE WORKFORCE BASE ON DEMAND MARKET .,the second is an education system which prepares the workforce based on the demands of the market .
PROCESS WILL ENSURE BETTER EMPLOYMENT LEVEL IN MEMBER STATE .,this process will ensure a better employment level in member states .
"FINALLY , EUROPEAN PARLIAMENT  HAVE INCREASE ROLE .","finally , the european parliament must have an increased role ."
"PARLIAMENT POSS PRIORITY  UN HUMAN RIGHTS COUNCIL GENEVA , 1 26 MARCH 2010 DEBATE","parliament's priorities for the un human rights council geneva , 1 26 march 2010 debate"
PRESIDENCY COUNCIL HAVE TAKE ROLE  IT HAVE  PLAY   TIME  SERIOUSLY .,the presidency of the council has taken the role that it has to play at this time very seriously .
PRESIDENCY  REFORE GO  HAVE ACTIVE PRESENCE IN WORK COUNCIL .,the presidency is therefore going to have an active presence in the work of the council .
"FINALLY , I  LIKE  DISCUSS PROBLEM COUNCIL REVIEW .","finally , I would like to discuss the problem of the council review ."
FIRST CONCERN MATIC ISSUE .,the first concerns thematic issues .
EU  ALSO ACTIVELY PARTICIPATE IN PANEL ON RIGHTS PERSON  DISABILITY .,the eu would also actively participate in a panel on the rights of persons with disabilities .
"SAME TIME , STATE MAY CHOOSE  REQUEST INTERNATIONAL ASSISTANCE  IMPLEMENTATION SE COMMITMENT .","at the same time , states may choose to request international assistance for the implementation of these commitments ."
WE WELCOME FACT  WE AMERICAN PARTNER  HEAVILY ENGAGE IN WORK HUMAN RIGHTS COUNCIL .,we welcome the fact that our american partners are heavily engaged in the work of the human rights council .
IRAN HAVE SIGNAL  IT  RUN IN ELECTION  PLACE ON COUNCIL .,iran has signalled that it might run in the elections for a place on the council .
HARDEST TEST ON HUMAN RIGHTS  ANY NATION  WHEN WE STAND ACCUSE HUMAN RIGHTS ABUSE .,the hardest test on human rights for any nation is when we stand accused of human rights abuse .
ONLY POSSIBILITY   BLAME ENTIRE INTERNATIONAL COMMUNITY .,the only possibility is to blame the entire international community .
CAN NOT GO ON WE ALSO HAVE  INVESTIGATE SE MATTER INASMUCH AS Y AFFECT WE .,this cannot go on we also have to investigate these matters inasmuch as they affect us .
"CLEARLY , REFORE ,  BODY HAVE LITTLE SUBSTANTIVE MORAL AUTHORITY .","clearly , therefore , this body has little substantive moral authority ."
I  AFRAID  SAY  LISBON TREATY  PALE SHADOW WE MAGNA CARTA .,i am afraid to say that the lisbon treaty is a pale shadow of our magna carta .
"HOWEVER , IT  TAKE CRITICAL LOOK  ITSELF .","however , it should take a critical look at itself ."
"REFORE , MY ELECTORATE AWAIT SELF DETERMINATION , ALONG  KASHMIRUS .","therefore , my electorate awaits self determination , along with the kashmiris ."
FIRST  PEACEBUILDING COMMISSION  SECOND  HUMAN RIGHTS COUNCIL .,the first was the peacebuilding commission and the second was the human rights council .
IT HAVE  SAY HERE  EXPRESS IN RESOLUTION  REFORM  SORELY NEED .,it has been said here and expressed in the resolution that a reform is sorely needed .
IT  OUTRAGEOUS  DESPICABLE   PARLIAMENT  TAKE  TERRIBLE COUNCIL SERIOUSLY .,it is outrageous and despicable that this parliament should take this terrible council seriously .
MECHANISM  VITAL   HUMAN RIGHTS COUNCIL CAN FULFIL ITS MANDATE IN WHATEVER WAY POSSIBLE .,this mechanism is vital so that the human rights council can fulfil its mandate in whatever way possible .
CAN MAKE PERPETRATOR HUMAN RIGHTS VIOLATION SIMPLY FEEL  Y HAVE NOTHING  WORRY ABOUT .,this can make the perpetrators of human rights violations simply feel that they have nothing to worry about .
I DO NOT BELIEVE  WE CAN MEASURE WHO HAVE SUFFER MORE IN  CONFLICT .,i do not believe that we can measure who has suffered more in this conflict .
"MILITARY ACTION  BOTH SIDE HAVE MEAN  MAINLY CIVILIAN SUFFER , UNFORTUNATELY .","military actions by both sides have meant that mainly civilians suffer , unfortunately ."
"ON  HAND , ROCKET ATTACK LAUNCH  HAMA HAVE TERRORISE ISRAELI CIVILIAN .","on the other hand , the rocket attacks launched by hamas have terrorised israeli civilians ."
I VISIT AREA DURING CONFLICT  SEE PROBLEM  FEAR FACE BOTH SIDE .,i visited the area during the conflict and saw the problems and fears facing both sides .
I  LIKE  REFER  TWO  PARLIAMENTARY PRIORITY .,i would like to refer to two other parliamentary priorities .
"FIRSTLY , BELARUS .","firstly , belarus ."
"CONTRARY  EXPECTATION , HUMAN RIGHTS SITUATION HAVE NOT IMPROVE ,   WORSEN .","contrary to expectations , the human rights situation has not improved , but is worsening ."
I  LIKE TODAY  STRESS MR MILINKEVICH POSS MESSAGE .,i would like today to stress mr milinkevich's message .
"ON  HAND , ISRAEL RESPECT RIGHTS PRISONER .","on the other hand , israel respects the rights of prisoners ."
"PRESENT ,  ARTICLE  OFTEN HONOR IN BREACH IN EU MEMBER STATE AS WELL .","at present , this article is often honoured in the breach in eu member states as well ."
IRANIAN REGIME ASSERT  RESPECT  HUMAN RIGHTS  GUARANTEE RE .,the iranian regime asserted that respect for human rights is guaranteed there .
I  LIKE  UNDERLINE VARIOUS FACT REGARD SE ASSERTION  CURRENT REGIME .,i would like to underline various facts regarding these assertions by the current regime .
MY PARLIAMENTARY COLLEAGUE PROVIDE SEVERAL EYEWITNESS ACCOUNT DURING JANUARY PART SESSION .,my parliamentary colleagues provided several eyewitness accounts during the january part session .
"TODAY , WE CAN NOT ACCEPT IRAN BECOME MEMBER HIGHEST AUTHORITY  DEFENSE HUMAN RIGHTS .","today , we cannot accept iran becoming a member of the highest authority for the defence of human rights ."
"IT  ABOUT SHOW  WE SIDE  LIBERTY , NOT  OPPRESSION .","it is about showing that we side with liberty , not with oppression ."
MANY EUROPEAN UNION MEMBER PROSECUTE  IMPRISON PEOPLE  NON VIOLENT FREEDOM SPEECH .,many european union members prosecute and imprison people for non violent freedom of speech .
"IN PARTICULAR , Y SEEK  MAKE ANY OPPOSITION  IMMIGRATION CRIMINAL OFFENCE .","in particular , they seek to make any opposition to immigration a criminal offence ."
BOOK BURNING  ALIVE  WELL .,book burning is alive and well .
"AS YOU KNOW , DECLARATION HAVE CONSTANTLY  MAKE ON  SUBJECT .","as you know , declarations have constantly been made on this subject ."
WE WILL MAKE SURE  WE SHARE SE  HIGH REPRESENTATIVE .,we will make sure that we share these with the high representative .
I HAVE MANY RESERVATION ABOUT UNHCR POSS OVERALL CREDIBILITY .,i have many reservations about the unhcr's overall credibility .
NEXT ITEM  COUNCIL  COMMISSION STATEMENT ON IMPLEMENTATION GOLDSTONE RECOMMENDATION ON ISRAEL PALESTINE .,the next item is the council and commission statements on the implementation of goldstone recommendations on israel / palestine .
INVESTIGATION   IN ACCORDANCE  INTERNATIONAL STANDARD .,this investigation should be in accordance with international standards .
INVESTIGATE FAIRLY  NO ONE SIDE CONCLUSION WILL  DRAW IN  REGARD .,this is being investigated fairly and no one sided conclusions will be drawn in this regard .
REPORT  INTEND  DEAL SOLELY  OCCUPIED TERRITORY .,this report is intended to deal solely with the occupied territories .
"FAMILY  DESTROY ,  SCHOOL BOMB .","families were destroyed , and schools bombed ."
"POPULATION  THROW INTO PANIC , TRAP  UNABLE  ESCAPE .","a population was thrown into panic , trapped and unable to escape ."
GAZA HAVE NOT CHANGE SINCE N .,gaza has not changed since then .
"HOWEVER , RE HAVE  GOLDSTONE REPORT .","however , there has been the goldstone report ."
"MR BROK , WHAT  DIFFERENCE BETWEEN GOLDSTONE REPORT  RESOLUTION  FOLLOW ?","mr brok , what is the difference between the goldstone report and the resolution that followed ?"
PRESSURE TODAY  BRING DOWN  REPORT  DISCREDITING JUDGE GOLDSTONE  UNBELIEVABLE .,the pressure today to bring down this report and the discrediting of judge goldstone is unbelievable .
FATAH  HAMA  NOT SPARE CRITICISM .,fatah and hamas are not spared criticism .
NO DEMOCRATIC STATE CAN DARE  BREAK INTERNATIONAL LAW WITHOUT HAVE  JUSTIFY ITS ACTION .,no democratic state can dare to break international law without having to justify its actions .
PARLIAMENT WILL NOT ALLOW ITSELF   INTIMIDATE .,this parliament will not allow itself to be intimidated .
"TODAY , I IMPLORE COUNCIL  COMMISSION SIMPLY  ABIDE   .","today , I implore the council and the commission simply to abide by that ."
"LIGHT  JUSTICE , NOTHING ELSE .","light and justice , nothing else ."
WE  NOT LET IT PASS .,we should not let it pass .
WHAT WE NEED  ANSWER .,that is what we need to answer .
IT  QUITE UNACCEPTABLE  COUNCIL STILL HAVE NOT ENDORSE RECOMMENDATION GOLDSTONE REPORT .,it is quite unacceptable that the council still has not endorsed the recommendations of the goldstone report .
"MR PRESIDENT , GOLDSTONE REPORT  EXCEPTIONALLY UNBALANCED  UNFAIR .","mr president , the goldstone report is exceptionally unbalanced and unfair ."
REPORT COME FROM  SUSPECT SOURCE WHICH  OBSESSIVELY ILL DISPOSED TOWARDS ISRAEL .,the report comes from a very suspect source which is obsessively ill disposed towards israel .
I STRESS   REPORT  COMPLETELY UNBALANCED .,i stress that this report is completely unbalanced .
"IT ATTEMPT , IN FACT ,  ABSOLVE TERRORIST ACTIVITY HAMA .","it attempts , in fact , to absolve the terrorist activity of hamas ."
EVERY COUNTRY HAVE RIGHT  DEFEND ITSELF AGAINST TERRORIST .,every country has the right to defend itself against terrorists .
"ISRAEL , TOO , HAVE  RIGHT .","israel , too , has that right ."
"NONE SE FEATURE    FIND , UNFORTUNATELY , ON TERRORIST SIDE .","none of these features is to be found , unfortunately , on the terrorist side ."
REPORT   SEND  INTERNATIONAL CRIMINAL COURT IN HAGUE  EXAMINATION .,the report should be sent to the international criminal court in the hague for examination .
PEOPLE PALESTINE  ISRAEL HAVE EVERY RIGHT  FUTURE   LIFE .,the people of palestine and of israel have every right to a future and to life .
WE HAVE OBLIGATION  EXERT PRESSURE  ACHIEVE FAIR SOLUTION  PEACE .,we have an obligation to exert pressure to achieve a fair solution and peace .
"GOLDSTONE REPORT   USE  GIVE NEW IMPETUS ,  VIEW  ACHIEVE FAIR SOLUTION .","the goldstone report should be used to give new impetus , with a view to achieving a fair solution ."
WHEN HAVE WE EVER SEE HAMA INVESTIGATE ITS OWN ACTION ?,when have we ever seen hamas investigate its own actions ?
"HAMA DELIBERATELY EXPOSE PALESTINIAN CITIZEN  ACUTE THREAT WAR , EVEN IN PLACE LIKE MOSQUE .","hamas deliberately exposed palestinian citizens to an acute threat of war , even in places likes mosques ."
LOOK  ALL PRECAUTION Y TAKE DURING OPERATION .,look at all the precautions they took during the operation .
YOU ONLY NEED  VISIT MIDDLE EAST !,you only need to visit the middle east !
IT  BENEATH ANY ACCEPTABLE STANDARD .,it is beneath any acceptable standard .
NOT WORD ABOUT  .,not a word about that .
WE  NOT WASTE ANY MORE TIME ON IT .,we should not waste any more time on it .
PART POLITICAL PROCESS .,this is part of a political process .
CAN NOT CARRY ON .,this cannot carry on .
PUT END   POLITICAL PERSECUTION STATE ISRAEL .,put an end to this political persecution of the state of israel .
"IT MR PRESIDENT , LADY  GENTLEMAN , PUBLIC OPINION  DIVIDE ON GOLDSTONE REPORT .","it mr president , ladies and gentlemen , public opinion is divided on the goldstone report ."
ISRAELI ARMY INTRODUCE WARN SIGNAL  GAZA CIVILIAN  NO ONE ELSE HAVE PUT INTO PRACTICE BEFORE .,the israeli army introduced warning signals for the gaza civilians that no one else had put into practice before .
"ANYONE WHO USE ALL SE PRECAUTION CAN NOT , UNDER ANY CIRCUMSTANCE ,  ACCUSE DELIBERATELY TARGET CIVILIAN .","anyone who uses all these precautions cannot , under any circumstances , be accused of deliberately targeting civilians ."
LET WE NOT TRY  RUBBISH  REPORT .,so let us not try to rubbish this report .
IT REPRESENT HIGHEST ASPIRATION  ALL WE ON  PLANET  DESERVE ALL WE SUPPORT .,it represents the highest aspirations for all of us on this planet and deserves all of our support .
"SE ALLEGATION   DETERMINE ,  EUROPE  SHOW DETERMINATION  Y  .","these allegations must be determined , and europe must show determination that they should ."
"AS IT HAPPEN , I DO NOT THINK  GOLDSTONE REPORT  CONSTRUCTIVE IN  REGARD .","as it happens , I do not think that the goldstone report is constructive in this regard ."
POLICY  HARMFUL  PEOPLE ISRAEL  REFORE  PEACE IN MIDDLE EAST .,this policy is harmful to the people of israel and therefore to peace in the middle east .
WE CONGRESS CALL GOLDSTONE REPORT IRREMEDIABLY BIAS  UNWORTHY FURR CONSIDERATION  LEGITIMACY .,the us congress called the goldstone report irremediably biased and unworthy of further consideration or legitimacy .
"CLEARLY , 2008 WAR  INHUMANE POLICY TOWARDS CIVILIAN  INTEND   FORGET .","clearly , the 2008 war and the inhumane policy towards civilians are intended to be forgotten ."
"REASON , WE CALL  INVESTIGATION   ATONEMENT .","for that reason , we call for an investigation and for atonement ."
EUROPE  NOT CONTINUE  LOOK AWAY .,europe must not continue to look away .
CERTAINLY HOLD TRUE  CONFLICT IN MIDDLE EAST .,this certainly holds true for the conflict in the middle east .
WHY REPORT HAVE SIMPLY  IGNORE .,this is why the report has simply been ignored .
"PALESTINIAN SIDE , ON  HAND , HAVE NOT TAKE ANY SUCH STEP .","the palestinian side , on the other hand , has not taken any such steps ."
WE HAVE  RESPECT HUMAN RIGHTS  RIGHTS BOTH PARTY UNDER ALL CIRCUMSTANCE .,we have to respect human rights and the rights of both parties under all circumstances .
C IT  ALWAYS DECEPTIVE  COMPARE NUMBER WHICH CONCEAL FATE INDIVIDUAL HUMAN  .,cs it is always deceptive to compare numbers which conceal the fate of individual human beings .
I BELIEVE WE MOST DEFINITELY DO .,i believe we most definitely do .
WE  ASK FURR QUESTION .,we should ask further questions .
HOW CAN STATE DEFEND ITS CITIZEN IN SUCH SITUATION ?,how can a state defend its citizens in such a situation ?
"IF  ,  IT POSSIBLE  AVOID CIVILIAN BECOME VICTIM ?","if so , is it possible to avoid civilians becoming victims ?"
WHAT DO INTERNATIONAL COMMUNITY DO  PREVENT  FORM TERRORISM ?,what did the international community do to prevent this form of terrorism ?
RE NOT INTENTIONALLY VARY STANDARD IN AREA ADHERENCE  HUMAN RIGHTS ?,are there not intentionally varying standards in the area of adherence to human rights ?
FIND ANSWER  SE SERIOUS QUESTION  CHALLENGE TASK  COMMON FOREIGN POLICY EU .,finding an answer to these serious questions is a challenging task for the common foreign policy of the eu .
TRUTH   VIOLENCE REMAIN DISASTROUS POLICY .,the truth is that violence remains a disastrous policy .
"HEZBOLLAH  STRONGER AFTER ATTACK ON LEBANON ,  HAMA  STRONGER TODAY IN GAZA .","hezbollah is stronger after the attack on lebanon , and hamas is stronger today in gaza ."
ANYONE WHO HAVE   GAZA AFTER CONFLICT CAN TESTIFY  PEOPLE POSS ENORMOUS SUFFER .,anyone who has been to gaza after the conflict can testify to the people's enormous suffering .
I ALSO ASK MYSELF WHY EUROPEAN UNION  NOT STAND UP  INTERNATIONAL LAW .,i also ask myself why the european union is not standing up for international law .
WHY DO IT ALLOW IMPUNITY  REIGN IN  REGION ?,why does it allow impunity to reign in this region ?
ANY CREDIBILITY IN WE RESPECT  INTERNATIONAL LAW WILL  LOSE IF EU LEAVE SE WAR CRIME UNCHALLENGED .,any credibility in our respect for international law will be lost if the eu leaves these war crimes unchallenged .
REPORT  NOT ABOUT ISRAEL POSS SECURITY .,this report is not about israel's security .
REPORT  ABOUT MAJOR HUMAN RIGHTS VIOLATION .,this report is about major human rights violations .
RE  REFORE NO CONCEIVABLE ARGUMENT WHY RECOMMENDATION  REPORT  NOT  IMPLEMENT .,there is therefore no conceivable argument why the recommendations of this report should not be implemented .
NL  REPORT  ONE SIDE .,nl this report is one sided .
"UNFORTUNATELY , MR GOLDSTONE HAVE NOT SEE FIT  INVESTIGATE WHER  ACTUALLY  CASE .","unfortunately , mr goldstone has not seen fit to investigate whether this actually was the case ."
MR GOLDSTONE HAVE REFORE FAIL  INVESTIGATE WHAT HAMA DO WRONG  CONSEQUENTLY RAP ISRAEL OVER KNUCKLE .,mr goldstone has therefore failed to investigate what hamas did wrong and consequently rapped israel over the knuckles .
"MR PRESIDENT , I WILL CONCLUDE ON POSITIVE NOTE .","mr president , I will conclude on a positive note ."
GOLDSTONE REPORT MAKE MANY ACCUSATION  Y HAVE   INVESTIGATE .,the goldstone report makes many accusations and they have to be investigated .
ISRAELI GOVERNMENT HAVE RIGHTLY TAKE INITIATIVE IN  REGARD  HAVE LAUNCH CRIMINAL INVESTIGATION .,the israeli government has rightly taken the initiative in this regard and has launched a criminal investigation .
EVEN ISRAELI SOLDIER HAVE TESTIFY  Y RECEIVE ORDER  SHOOT  CIVILIAN .,even israeli soldiers have testified that they received orders to shoot at civilians .
IT   SIMPLE IT JUST NEED   APPLY .,it is that simple it just needs to be applied .
WE  ASSUME WE RESPONSIBILITY  PEOPLE EUROPE  PEOPLE WHOLE WORLD .,we must assume our responsibilities to the peoples of europe and the peoples of the whole world .
SCANDALOUS !,this is scandalous !
IT  CERTAINLY NOT ONE I HAVE READ .,it is certainly not the one I have read .
"IT FIND EVIDENCE WILFUL TORTURE , INHUMANE TREATMENT  WILFUL CAUSE GREAT HUMAN SUFFER .","it found evidence of wilful torture , inhumane treatment and wilful causing of great human suffering ."
"Y  DEMOCRACY , HUMAN RIGHTS  FREEDOM OPINION ,  WE NEED  ADHERE  Y EVERYWHERE .","they are democracy , human rights and freedom of opinion , and we need to adhere to them everywhere ."
I  QUITE SHOCK  REMARK  MR DE ROSSA  MR DE KEYSER MAKE HERE .,i am quite shocked by the remarks that mr de rossa and mrs de keyser made here .
"I  LIKE  SAY   REPORT  , UNFORTUNATELY , BLOT IN UN POSS HISTORY .","i would like to say that this report is , unfortunately , a blot in the un's history ."
FIRST STEP WE   TAKE .,that is the first step we should be taking .
"WHILE IT MAKE FAR REACH DEMAND ISRAEL , IT SAY LITTLE ABOUT HAMA .","while it makes far reaching demands of israel , it says little about hamas ."
"I SEE NOTHING IN 554 PAGE REPORT  OFFER CONSTRUCTIVE , POSITIVE PROPOSAL  LAST PEACE  STABILITY .","i see nothing in a 554 page report that offers constructive , positive proposals for lasting peace and stability ."
"INTERNAL MILITARY INVESTIGATION  ISRAELI ARMY , WHICH  ITSELF UNDER SUSPICION ,  NOT SUFFICIENT .","an internal military investigation by the israeli army , which is itself under suspicion , is not sufficient ."
"WAR CRIME   PUNISH UNDER INTERNATIONAL LAW , AS HAVE  SAY HERE MANY TIME .","war crimes must be punished under international law , as has been said here many times ."
"HOWEVER , IRRESPECTIVE GOLDSTONE REPORT , RE  CURRENTLY NO REASON  CONTINUE SIEGE ON GAZA .","however , irrespective of the goldstone report , there is currently no reason to continue the siege on gaza ."
"UNTIL  HAPPEN , IT WILL  WASTE TIME  PRODUCE HUNDRED MORE PAGE INTERNATIONAL RECOMMENDATION .","until that happens , it will be a waste of time to produce hundreds more pages of international recommendations ."
"EL MR PRESIDENT , GOLDSTONE REPORT HIT NAIL ON HEAD .","el mr president , the goldstone report hits the nail on the head ."
POLICY TREAT BOTH SIDE ON EQUAL TERM  NOT HELP .,the policy of treating both sides on equal terms is not helping .
SERIES CRIME HAVE  CARRY OUT    CARRY OUT IN GAZA .,a series of crimes has been carried out and is being carried out in gaza .
"RE  POVERTY , MISERY  BLATANT DISRESPECT  HUMAN RIGHTS PALESTINIAN PEOPLE .","there is poverty , misery and blatant disrespect for the human rights of the palestinian people ."
RE  WITNESS   .,there are witnesses to this .
